method,round,labeled,unlabeled,mAP
initial,0,1000,15551,0.5362325861017594
cdal,1,2000,14551,0.6278303406096694
cdal,2,3000,13551,0.6564980416618507
cdal,3,4000,12551,0.6810144223563706
cdal,4,5000,11551,0.6981257819324556
cdal,5,6000,10551,0.6985740731444675
cdal,6,7000,9551,0.7257382046233645
cdal,7,8000,8551,0.7370560886968307
cdal,8,9000,7551,0.7407664530457145
cdal,9,10000,6551,0.7487838192217355
random,1,2000,14551,0.5994156265716645
random,2,3000,13551,0.6376917959127246
random,3,4000,12551,0.6781792006855281
random,4,5000,11551,0.6941755466760344
random,5,6000,10551,0.7028926560588895
random,6,7000,9551,0.7157120393900336
random,7,8000,8551,0.7266967972117293
random,8,9000,7551,0.7349950897647541
random,9,10000,6551,0.7399432283235463
